County,Neighborhood,"Grade 6 Reading/English, 2016 (CMSD)","Grade 6 Math, 2016 (CMSD)","Grade 6 Reading/English, 2015 (CMSD)","Grade 6 Math, 2015 (CMSD)","Grade 6 Reading/English, 2014 (CMSD)","Grade 6 Math, 2014 (CMSD)","Grade 6 Reading/English, 2013 (CMSD)","Grade 6 Math, 2013 (CMSD)","Grade 6 Reading/English, 2012 (CMSD)","Grade 6 Math, 2012 (CMSD)","Grade 6 Reading/English, 2011 (CMSD)","Grade 6 Math, 2011 (CMSD)","Grade 6 Reading/English, 2010 (CMSD)","Grade 6 Math, 2010 (CMSD)","Grade 7 Reading/English, 2016 (CMSD)","Grade 7 Math, 2016 (CMSD)","Grade 7 Reading/English, 2015 (CMSD)","Grade 7 Math, 2015 (CMSD)","Grade 7 Reading/English, 2014 (CMSD)","Grade 7 Math, 2014 (CMSD)","Grade 7 Reading/English, 2013 (CMSD)","Grade 7 Math, 2013 (CMSD)","Grade 7 Reading/English, 2012 (CMSD)","Grade 7 Math, 2012 (CMSD)","Grade 7 Reading/English, 2011 (CMSD)","Grade 7 Math, 2011 (CMSD)","Grade 7 Reading/English, 2010 (CMSD)","Grade 7 Math, 2010 (CMSD)","Grade 8 English, 2016 (CMSD)","Grade 8 Math, 2016 (CMSD)","Grade 8 English, 2015 (CMSD)","Grade 8 Math, 2015 (CMSD)","Grade 8 English, 2014 (CMSD)","Grade 8 Math, 2014 (CMSD)","Grade 8 English, 2013 (CMSD)","Grade 8 Math, 2013 (CMSD)","Grade 8 English, 2012 (CMSD)","Grade 8 Math, 2012 (CMSD)","Grade 8 English, 2011 (CMSD)","Grade 8 Math, 2011 (CMSD)","Grade 8 English, 2010 (CMSD)","Grade 8 Math, 2010 (CMSD)",
Cuyahoga, Lee-Seville,9.68,21.88,-99,30,58.33,29.17,51.52,39.39,58.7,28.26,74.36,41.03,43.18,20.45,17.39,26.09,-99,5,59.09,59.09,43.18,38.64,48.78,39.02,48.65,24.32,67.86,42.86,5.88,17.65,-99,27.78,50,48.84,61.11,33.33,48.72,30.77,61.29,38.71,52.83,28.3,
Cuyahoga, Mount Pleasant,6.9,5.68,-99,14.13,58.33,36.11,50.48,25.71,54.25,38.56,62.41,41.67,47.37,21.64,11.11,15.38,-99,19.44,54.46,31.07,41.79,23.13,37.9,23.39,37.09,28.67,48.21,30.95,9.62,9.47,-99,12.24,57.35,36.03,57.66,26.13,48.25,38.46,53.69,34.23,56.59,29.12,
Cuyahoga, North Shore Collinwood,18.64,20.34,50,28.57,67.8,64.41,53.62,34.78,64.2,37.04,64.84,48.35,57.55,46.23,20,22.54,-99,41.82,63.24,52.94,71.64,40.3,49.38,44.44,59.8,51.96,64,38,13.33,30.23,-99,25.76,68.85,59.02,64.86,45.95,65.26,61.7,69.51,46.91,75.56,54.44,
Cuyahoga, Ohio City,5.26,10.53,-99,21.62,51.06,42.55,57.69,36.54,68.63,41.18,47.62,30.95,72.73,45.45,21.95,29.27,-99,39.58,58.14,48.84,63.27,42.86,42.86,45.24,46.81,52.17,64,36,9.09,31.82,-99,51.28,80,60,52.27,47.73,45.83,53.19,66.67,48.65,44.44,37.04,
Cuyahoga, Old Brooklyn,15.49,13.29,75,30.26,73.28,56.49,74.17,57.62,77.71,67.52,82.07,62.84,80.66,65.75,21.88,25.16,-99,34.31,51.95,48.41,66.48,52.84,64.94,64.37,56.41,60.51,65.2,54.9,23.78,26.76,-99,26.9,62.23,56.61,79.01,65.43,67.39,64.67,75.24,52.2,66.67,40.63,
Cuyahoga, St.Clair-Superior,12.82,15.79,-99,19.51,45.45,36.36,56.25,37.5,42.37,40.68,65.12,55.81,59.09,30.3,8.51,8.51,-99,32.5,47.22,36.11,29.63,24.07,45.95,35.14,30.43,24.64,50.72,23.19,9.09,12.12,-99,28.21,50,38.64,52.63,47.37,52.54,30.51,51.47,17.91,33.33,16.09,
Cuyahoga, Stockyards,17.71,25.74,43.75,37,63.64,55.86,67.68,64.65,75.49,62.75,71.19,61.86,67.8,53.39,25.58,31.4,28.57,28.57,61.22,58.16,61.18,58.82,56.86,49.02,53.78,59.66,59.69,43.85,10.58,21,-99,29.67,71.58,59.38,73.33,48.57,67.27,66.36,67.77,54.47,58.97,50.43,
Cuyahoga, Tremont,20,22,-99,37.5,56.41,46.15,58.33,31.25,68.97,41.38,64.52,48.39,58.11,45.95,21.88,28.13,-99,36.59,40.48,32.56,52,48,48,28,45.16,42.86,58.93,48.21,14.29,29.41,-99,14.29,60.78,50.94,63.64,47.73,50.79,44.44,58.82,44.9,63.46,30.77,
Cuyahoga, Union-Miles,8.41,10.19,-99,15.97,54.62,35.29,48.97,23.45,55.49,35.26,55.81,38.6,58.06,25.27,9.32,10.26,-99,29.13,38.85,27.34,45.96,33.54,46.15,30.95,40,31.67,45.54,24.53,7.75,11.02,-99,20.63,54.17,41.67,57.05,32.43,50,33.15,52.88,26.57,46.15,21.46,
Cuyahoga, University,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, West Boulevard,19.85,23.53,37.5,32.39,68.86,49.1,68.02,46.51,75.58,52.91,63.13,44.95,69.63,56.54,18.01,25.79,42.86,35.63,60.49,54.94,61.08,54.49,55.03,44.39,57.56,53.8,59.63,45.96,14.1,22.15,27.27,29.49,66.89,60.93,63.22,52.57,67.26,60.71,73.58,54.09,67.69,54.12,
Cuyahoga, _Unknown neighborhood,9.84,11.29,-99,28.07,52.94,41.18,60,24,-99,-99,53.33,40,22.73,18.18,18.18,17.54,-99,31.11,50,40.54,23.53,17.65,50,30,51.72,35.71,66.67,40,8.51,16.67,-99,16.33,54.9,34.62,62.5,37.5,50,35.71,66.67,29.17,60,32,
Cuyahoga,_Suburb,21.57,29.41,50,39.64,65.66,44.44,55,45,67.07,41.46,57.14,42.86,58.11,41.89,23.13,27.21,-99,32.18,58.68,47.93,48.96,37.89,56.7,43.3,49.21,47.62,56.67,31.11,8.53,20.33,-99,28.42,65.63,48.06,63,45.92,60.49,46.25,61.05,36.84,62.5,38.64,
