County,Neighborhood,"OGT 10th Grade-Reading, 2015 (CMSD)","OGT 10th Grade-Writing, 2015 (CMSD)","OGT 10th Grade-Math, 2015 (CMSD)","OGT 10th Grade-Social Studies, 2015 (CMSD)","OGT 10th Grade-Science, 2015 (CMSD)","OGT 11th Grade-Reading, 2015 (CMSD)","OGT 11th Grade-Writing, 2015 (CMSD)","OGT 11th Grade-Math, 2015 (CMSD)","OGT 11th Grade-Social Studies, 2015 (CMSD)","OGT 11th Grade-Science, 2015 (CMSD)","OGT 10th Grade-Reading, 2014 (CMSD)","OGT 10th Grade-Writing, 2014 (CMSD)","OGT 10th Grade-Math, 2014 (CMSD)","OGT 10th Grade-Social Studies, 2014 (CMSD)","OGT 10th Grade-Science, 2014 (CMSD)","OGT 11th Grade-Reading, 2014 (CMSD)","OGT 11th Grade-Writing, 2014 (CMSD)","OGT 11th Grade-Math, 2014 (CMSD)","OGT 11th Grade-Social Studies, 2014 (CMSD)","OGT 11th Grade-Science, 2014 (CMSD)","OGT 10th Grade-Reading, 2013 (CMSD)","OGT 10th Grade-Writing, 2013 (CMSD)","OGT 10th Grade-Math, 2013 (CMSD)","OGT 10th Grade-Social Studies, 2013 (CMSD)","OGT 10th Grade-Science, 2013 (CMSD)","OGT 11th Grade-Reading, 2013 (CMSD)","OGT 11th Grade-Writing, 2013 (CMSD)","OGT 11th Grade-Math, 2013 (CMSD)","OGT 11th Grade-Social Studies, 2013 (CMSD)","OGT 11th Grade-Science, 2013 (CMSD)","OGT 10th Grade-Reading, 2012 (CMSD)","OGT 10th Grade-Writing, 2012 (CMSD)","OGT 10th Grade-Math, 2012 (CMSD)","OGT 10th Grade-Social Studies, 2012 (CMSD)","OGT 10th Grade-Science, 2012 (CMSD)","OGT 10th Grade-Reading, 2011 (CMSD)","OGT 10th Grade-Writing, 2011 (CMSD)","OGT 10th Grade-Math, 2011 (CMSD)","OGT 10th Grade-Social Studies, 2011 (CMSD)","OGT 10th Grade-Science, 2011 (CMSD)","OGT 10th Grade-Reading, 2010 (CMSD)","OGT 10th Grade-Writing, 2010 (CMSD)","OGT 10th Grade-Math, 2010 (CMSD)","OGT 10th Grade-Social Studies, 2010 (CMSD)","OGT 10th Grade-Science, 2010 (CMSD)"
Cuyahoga, Kinsman,61.22,51.06,47.92,42.86,30.61,-99,18.18,15.38,35.71,11.11,75,68.33,46.67,40,33.33,-99,-99,-99,-99,-99,60.87,64.18,54.29,41.18,33.33,-99,-99,10,33.33,22.73,52.94,58.82,46.15,32.69,22.22,53.62,63.24,48.53,33.33,26.87,38.1,47.62,30.16,30.16,22.73
Cuyahoga, Lee-Harvard,71.23,69.33,58.11,59.21,44.59,-99,-99,20,-99,14.29,88.57,83.1,68.06,68.06,54.79,-99,-99,-99,-99,-99,73.56,70.24,56.47,50,42.53,38.89,25,16.67,23.33,16.67,59.21,72.37,52.56,52.5,50,62.07,76.19,54.65,46.51,40.7,59.29,73.87,52.63,54.46,37.07
Cuyahoga, Lee-Seville,74.29,79.41,60,61.76,52.78,-99,10,18.18,27.27,10,65.52,51.72,48.28,53.33,48.28,-99,-99,-99,-99,-99,76.47,80.65,65.71,52.94,33.33,-99,-99,-99,-99,20,53.85,65,40.48,42.5,26.19,57.78,70.45,44.44,39.53,39.13,52.17,64.29,52.11,47.83,35.29
Cuyahoga, Mount Pleasant,57.89,48.98,51.49,49.48,31,29.41,50,24.24,31.43,12.5,78.95,76.58,50,47.27,46.9,-99,-99,-99,-99,-99,67.88,69.85,59.57,45.52,41.73,39.13,26.09,21.74,15.56,15.25,59.34,61.11,48.07,51.63,40.22,58.05,73.6,47.55,38.38,33.5,51.33,60.54,46.46,42.6,30.8
Cuyahoga, North Shore Collinwood,68.66,66.18,55.22,52.17,38.81,-99,15.38,28.57,17.65,4.76,83.95,79.01,63.1,63.86,54.02,-99,-99,-99,-99,-99,61.25,59.49,53.09,41.03,27.5,-99,-99,-99,-99,40,74.58,78.33,66.67,62.9,55,63.22,69.88,58.62,48.24,48.28,58.43,66.67,54.95,56.82,38.04
Cuyahoga, Ohio City,67.5,61.54,52.5,58.97,48.72,-99,-99,-99,20,18.18,61.76,55.88,52.94,44.12,38.24,-99,-99,-99,-99,-99,68.29,57.5,51.22,43.59,36.59,-99,20,-99,10,-99,55.56,55.32,63.83,46,42.55,56,64,50.98,30.77,26,57.5,65.79,51.28,57.5,48.72
Cuyahoga, Old Brooklyn,74.84,82.35,71.34,64.05,56.41,15.38,27.27,12.9,19.35,10.53,78.77,75.56,64.67,63.69,55.19,-99,-99,-99,-99,-99,74.56,60,67.46,58.24,52.94,27.27,21.74,17.65,23.08,23.91,71.59,73.3,66.85,57.63,53.89,75.12,79.61,65.4,58.29,54.55,72.99,73.84,65.36,63.89,57.69
Cuyahoga, St.Clair-Superior,63.89,69.44,69.44,45.95,34.29,18.18,8.33,11.76,11.76,16.67,69.64,66.67,45.45,39.29,27.27,-99,-99,-99,-99,-99,59.09,60.87,44.44,42.55,31.91,0,14.29,6.25,7.14,21.74,39.29,50,34.55,27.12,15,56.98,63.95,33.33,26.44,18.89,48.48,51.52,39.44,37.14,25.35
Cuyahoga, Stockyards,62.11,55.21,54.17,49.45,38.95,16.13,17.14,28.21,20.45,10.42,52.48,52.04,35.64,33,29,-99,-99,-99,-99,-99,63.53,60.71,53.49,48.81,43.18,28,13.04,25,23.33,20.51,54.21,60,57.01,43.4,40.37,64.52,73.91,52.69,50.54,38.95,68.27,73.79,64.42,53.33,45.79
Cuyahoga, Tremont,71.74,69.77,62.22,63.64,54.55,18.75,19.05,5.88,5.26,8.7,61.7,53.19,46.81,54.17,39.58,-99,-99,-99,-99,-99,70.73,68.42,63.41,47.5,40,-99,18.18,-99,10,7.14,52.94,64.71,55.88,44.44,47.22,79.41,87.1,72.73,57.58,45.45,62,65.96,66,52.08,42.31
Cuyahoga, Union-Miles,69.92,66.92,56.06,56.92,38.35,25.81,21.88,11.9,28.26,11.32,71.24,63.7,46.1,40.13,37.34,-99,-99,-99,-99,-99,63.43,62.21,47.49,40.12,32.22,23.68,16.22,18.64,10.53,22.99,55.25,62.44,44.74,41.55,32.42,62.44,70.53,49.32,40.47,32.72,52.8,61.62,46.76,43.31,32.29
Cuyahoga, University,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Cuyahoga, West Boulevard,61.59,60.76,57.23,51.23,42.59,20,25,13.51,23.91,9.43,65.64,67.08,56.1,51.55,45.78,-99,-99,-99,-99,-99,64.19,62.16,59.6,52.05,52.03,25,13.79,16.67,17.07,23.21,66.85,68.89,55.25,51.91,46.7,65.64,73.29,52.15,44.51,40.99,55.17,56.14,50,48.28,41.11
Cuyahoga, _Unknown neighborhood,55.56,50,44.68,52.17,30.43,28.57,33.33,23.08,33.33,4.55,61.54,64.86,48.65,48.65,43.59,-99,-99,-99,-99,-99,59.09,50,36.36,22.73,17.39,-99,-99,-99,-99,0,61.54,69.23,50,57.14,42.86,58.62,70.37,45.16,50,39.29,52,54.55,39.13,39.13,33.33
Cuyahoga,_Suburb,78.33,78.21,70,69.66,57.06,36.84,34.78,25.93,28.57,13.95,80,71.18,60.92,60.36,54.12,-99,-99,-99,-99,-99,66.88,64.47,60.26,50.97,45.91,35,19.05,20.59,34.29,24.44,75.18,75,59.18,55.33,53.25,72.61,78.71,64.52,55.77,49.35,61.19,66.41,57.78,50.75,41.35
