Parcel,Address,Date posted,New,Municipality,Cleveland Ward,Bldgs,Status
544-07-119,4915 E 107th St,43544,,Garfield Heights,,1,Pending transfer
109-12-086,10623 Columbia Ave,43543,,Cleveland,9,1,Sched for demolition
109-22-104,1150 E 113th St,43543,,Cleveland,9,1,Sched for demolition
115-04-072,1018 E 143rd St,43543,,Cleveland,10,1,Unavailable - Demo under contract
116-15-030,1349 E 170th St,43543,,Cleveland,10,1,Sched for demolition
130-16-140,3433 E 145th St,43543,,Cleveland,1,1,Sched for demolition
136-24-024,4232 E 110th St,43539,,Cleveland,2,1,Sched for demolition
136-25-031,4221 E 110th St,43539,,Cleveland,2,1,Sched for demolition
137-25-049,13605 Durkee Ave,43539,,Cleveland,2,1,Sched for demolition
140-10-087,17103 Walden Ave,43539,,Cleveland,1,1,Pending transfer
687-02-055,3307 Washington Blvd,43539,,Cleveland Heights,,1,Pending transfer
671-14-060,14112 Bardwell Ave,43538,,East Cleveland,,1,Sched for demolition
104-15-011,1237 E 60th St (fr & Rear),43537,,Cleveland,7,2,Sched for demolition
016-23-087,3446 W 45th St,43536,,Cleveland,14,1,Pending transfer
135-10-072,3520 E 110th St,43536,,Cleveland,2,1,Pending transfer
137-05-052,3549 E 133rd St,43536,,Cleveland,4,1,"For sale (List Price: $12,000) (Renovation Work Required)"
139-16-088,15205 Harvard Ave,43536,,Cleveland,1,1,Pending transfer
511-05-002,3872 E 38th St,43535,,Newburgh Heights,,0,Vacant lot
113-16-062,15823 Trafalgar Ave,43531,,Cleveland,8,1,Pending transfer
138-16-063,12912 Hoy Ave,43531,,Cleveland,2,1,Sched for demolition
671-04-153,13613 Milan Ave,43531,,East Cleveland,,1,Sched for demolition
672-05-125,12918 Phillips Ave,43531,,East Cleveland,,1,Sched for demolition
137-23-069,12713 Lenacrave Ave,43530,,Cleveland,2,1,Sched for demolition
142-27-088,15210 Florida Ave,43530,,Cleveland,1,1,Pending transfer
137-25-161,13617 Southview Ave,43528,,Cleveland,2,1,Pending transfer
132-25-145,6817 Claasen Ave,43525,,Cleveland,12,1,Sched for demolition
137-19-056,13517 Coath Ave,43525,,Cleveland,2,1,Sched for demolition
023-09-075,13513 Sherry Ave,43523,,Cleveland,16,1,Pending transfer
105-21-116,6320 Orton Ct,43523,,Cleveland,7,1,Pending transfer
105-24-117,1128 E 66th St,43523,,Cleveland,7,1,Sched for demolition
105-33-120,7503 Lockyear Ave,43523,,Cleveland,7,1,Sched for demolition
108-02-110,682 E 91st St,43523,,Cleveland,10,1,Sched for demolition
126-06-078,8705 Nevada Ave,43523,,Cleveland,6,1,Sched for demolition
127-15-088,9319 Carton Ave,43523,,Cleveland,6,1,Sched for demolition
127-25-115,3404 E 108th St,43523,,Cleveland,4,1,Sched for demolition
127-27-012,3411 E 113th St,43523,,Cleveland,4,1,Sched for demolition
128-22-073,3096 Audubon Blvd,43523,,Cleveland,4,0,Vacant lot
136-18-117,4140 E 112th St,43523,,Cleveland,2,1,Sched for demolition
137-07-074,3585 E 118th St,43523,,Cleveland,2,1,Sched for demolition
138-16-020,4254 E 131st St,43523,,Cleveland,2,1,Sched for demolition
138-17-107,4293 E 134th St,43523,,Cleveland,1,1,Sched for demolition
139-07-074,3835 E 146th St,43523,,Cleveland,2,1,Sched for demolition
139-12-050,3666 E 149th St,43523,,Cleveland,2,1,Sched for demolition
671-12-111,14017 Northfield Ave,43523,,East Cleveland,,1,Sched for demolition
671-12-158,14013 Potomac Ave,43523,,East Cleveland,,0,Vacant lot
671-17-108,14816 Alder Ave,43523,,East Cleveland,,1,Unavailable - Demo under contract
672-05-186,1168 Bender Ave,43523,,East Cleveland,,1,Sched for demolition
672-14-051,1857 Brightwood St,43523,,East Cleveland,,0,Pending transfer
007-23-054,2654 W 28 St,43522,,Cleveland,3,0,Pending transfer
104-19-118,6001 Whittier Ave,43522,,Cleveland,7,1,Sched for demolition
105-18-012,897 E 75th St,43522,,Cleveland,10,1,Sched for demolition
109-22-043,1122 E 111th St,43522,,Cleveland,9,1,Sched for demolition
111-08-023,11709 Hazeldell Rd,43522,,Cleveland,10,1,Sched for demolition
120-07-007,10818 Orville Ave,43522,,Cleveland,9,0,Pending transfer
126-37-048,9312 Sophia Ave,43522,,Cleveland,6,1,Sched for demolition
136-14-116,4148 E 98th St,43522,,Cleveland,2,1,Sched for demolition
017-25-093,3487 W 97th St,43517,,Cleveland,11,1,Pending transfer
112-02-135,13310 Eaglesmere Ave,43516,,Cleveland,8,1,Sched for demolition
142-27-146,15134 Lincoln Ave,43515,,Cleveland,1,1,Sched for demolition
005-18-002,2071 W 106th St,43511,,Cleveland,15,1,Pending transfer
006-06-049,7725 Colgate Ave,43511,,Cleveland,15,0,Pending transfer
019-01-056,3666 W 116th St,43511,,Cleveland,11,1,Pending transfer
105-14-020,969 E 67th St (fr & Rear),43511,,Cleveland,10,2,Sched for demolition
106-20-034,8116 Linwood Ave,43511,,Cleveland,7,1,Sched for demolition
107-13-057,9100 Shipherd Ave,43511,,Cleveland,7,1,Unavailable - Demo under contract
108-02-131,9110 Hillock Ave,43511,,Cleveland,10,1,Sched for demolition
108-21-037,9310 Yale,43511,,Cleveland,9,1,Sched for demolition
108-21-039,9402 Yale Ave,43511,,Cleveland,9,1,Sched for demolition
109-03-168,9703 Pierpont Ave,43511,,Cleveland,9,1,Sched for demolition
110-10-072,730 Eddy Rd,43511,,Cleveland,10,1,Sched for demolition
110-11-015,897 Thornhill Dr,43511,,Cleveland,10,1,Sched for demolition
110-15-026,849 E 131st St,43511,,Cleveland,10,1,Sched for demolition
112-01-005,13613 Othello Ave,43511,,Cleveland,8,1,Sched for demolition
113-20-077,382 E 162nd St,43511,,Cleveland,8,1,Pending transfer
113-23-017,1238 E 172nd St,43511,,Cleveland,8,1,Sched for demolition
115-22-027,15415 Plato Ave,43511,,Cleveland,8,1,Unavailable - Demo under contract
115-29-090,1017 Evangeline Rd,43511,,Cleveland,8,1,Unavailable - Demo under contract
123-31-151,4924 Anson Ave,43511,,Cleveland,5,1,Sched for demolition
125-24-038,5622 Drake Ave,43511,,Cleveland,5,1,Sched for demolition
125-34-017,3406 E 73rd St,43511,,Cleveland,6,1,Sched for demolition
129-18-026,11821 Honeydale Ave,43511,,Cleveland,4,0,Vacant lot
129-29-099,12614 Signet Ave,43511,,Cleveland,4,0,Vacant lot
130-09-056,3257 E 135th St,43511,,Cleveland,4,1,Sched for demolition
130-17-040,3378 E 146th St,43511,,Cleveland,1,1,Sched for demolition
131-33-011,3627 E 47th St,43511,,Cleveland,12,1,Sched for demolition
131-35-111,3676 E 54th St,43511,,Cleveland,12,1,Sched for demolition
132-08-082,3647 E 63rd St,43511,,Cleveland,12,1,Unavailable - Demo under contract
134-11-117,4294 E 72nd St,43511,,Cleveland,12,1,Sched for demolition
134-15-021,8601 Force Ave,43511,,Cleveland,2,1,Sched for demolition
134-19-111,8023 Maryland Ave,43511,,Cleveland,2,1,Unavailable - Demo under contract
135-21-075,11322 Revere Ave,43511,,Cleveland,2,1,Unavailable - Demo under contract
136-18-100,4129 E 112th St,43511,,Cleveland,2,1,Sched for demolition
137-24-136,13402 Coath Ave,43511,,Cleveland,2,1,Sched for demolition
138-02-160,3954 E 120th St,43511,,Cleveland,2,1,Sched for demolition
138-05-155,13313 Edgewood Ave,43511,,Cleveland,2,1,Sched for demolition
138-17-057,13305 Beachwood Ave,43511,,Cleveland,1,1,Sched for demolition
139-02-111,3678 E 143rd St,43511,,Cleveland,2,1,Sched for demolition
139-02-138,3669 E 143rd St,43511,,Cleveland,2,1,Sched for demolition
143-01-052,16225 Tarkington Ave,43511,,Cleveland,1,1,Sched for demolition
572-17-006,10501 Stone Rd,43511,,Valley View,,1,Under evaluation
104-15-138,6305 Edna Ave,43508,,Cleveland,7,1,Sched for demolition
104-25-074,1597 E 47th St,43508,,Cleveland,7,0,Pending transfer
105-26-121,1041 E 70th St,43508,,Cleveland,10,1,Pending transfer
105-31-126,1020 E 78th St,43508,,Cleveland,9,1,Sched for demolition
110-16-002,879 Paxton Rd,43508,,Cleveland,10,1,Sched for demolition
110-26-101,12108 Castlewood Ave,43508,,Cleveland,9,1,Unavailable - Demo under contract
110-29-103,1272 E 124th St,43508,,Cleveland,9,1,Sched for demolition
120-14-071,1525 E 123rd St,43508,,Cleveland,9,0,Pending transfer
121-34-007,11504 Woodstock Ave,43508,,Cleveland,6,0,Pending transfer
671-01-140,1233 E 135th St,43508,,East Cleveland,,1,Unavailable - Demo under contract
671-02-106,13521 Gainsboro Ave,43508,,East Cleveland,,1,Unavailable - Demo under contract
671-09-002,1622 Bryn Mawr Rd,43508,,East Cleveland,,0,Vacant lot
671-11-005,14800 Shaw Ave,43508,,East Cleveland,,1,Sched for demolition
672-06-116,1381 E 125th St,43508,,East Cleveland,,1,Sched for demolition
672-15-080,1884 Roxbury Rd,43508,,East Cleveland,,0,Pending transfer
672-22-068,1838 Beersford Ave,43508,,East Cleveland,,1,Unavailable - Demo under contract
672-25-054,1911 Rosemont Rd,43508,,East Cleveland,,1,Sched for demolition
673-07-039,1741 Doan Ave,43508,,East Cleveland,,1,Sched for demolition
735-21-118,3625 Ludgate Rd,43508,,Shaker Heights,,1,Under renovation
001-29-029,1966 W 96th St,43507,,Cleveland,15,1,Sched for demolition
136-16-059,4061 E 103rd St,43507,,Cleveland,2,1,Pending transfer
137-18-069,13409 Horner Ave,43507,,Cleveland,2,1,Sched for demolition
006-06-054,7738 Lorain Ave,43503,,Cleveland,15,0,Pending transfer
016-11-179,3164 W 56th St,43503,,Cleveland,3,1,Sched for demolition
107-12-085,1352 E 93rd St,43503,,Cleveland,7,1,Unavailable - Demo under contract
108-10-082,496 E 105th St,43503,,Cleveland,10,1,Sched for demolition
109-04-160,10411 Kempton Ave,43503,,Cleveland,9,1,Sched for demolition
131-21-085,3471 E 52nd St,43503,,Cleveland,5,2,Sched for demolition
135-20-067,11205 Revere Ave,43503,,Cleveland,2,1,Unavailable - Demo under contract
136-06-059,11316 Dove Ave,43503,,Cleveland,2,1,Sched for demolition
137-22-056,12605 Lenacrave Ave,43503,,Cleveland,2,1,Sched for demolition
139-05-097,14317 Edgewood Ave,43503,,Cleveland,1,1,Sched for demolition
139-09-117,3652 E 147th St,43503,,Cleveland,2,1,Sched for demolition
673-32-023,15922 Forest Hills Blvd,43503,,East Cleveland,,1,Under evaluation
018-29-014,3609 W 130th St,43502,,Cleveland,16,1,Pending transfer
110-14-068,12709 Arlington Ave,43502,,Cleveland,10,1,Sched for demolition
139-20-125,3585 E 151st St,43502,,Cleveland,1,1,Sched for demolition
125-12-015,3051 E 65th St,43500,,Cleveland,5,1,Unavailable - Demo under contract
107-15-115,1420 E 88th St,43497,,Cleveland,7,0,Vacant lot
125-27-062,5943 Cable Ave,43497,,Cleveland,5,1,Sched for demolition
007-23-044,00000 Joy Court,43495,,Cleveland,3,0,Pending transfer
016-17-094,3537 W 58th St,43495,,Cleveland,14,1,Sched for demolition
672-04-037,1284 N Lockwood Ave,43494,,East Cleveland,,1,Sched for demolition
672-16-081,1861 Idlewood Ave,43494,,East Cleveland,,0,Vacant lot
673-06-034,1722 Northfield Ave,43494,,East Cleveland,,1,Sched for demolition
673-16-072,2075 Alton Rd,43494,,East Cleveland,,1,Sched for demolition
107-15-076,1432 E 86th St,43493,,Cleveland,7,1,Unavailable - Demo under contract
123-20-025,3021 Nursery Ave,43493,,Cleveland,5,1,Sched for demolition
135-02-057,9700 Gibson (transfer With 135-02-056),43493,,Cleveland,,0,Pending transfer
672-05-034,12819 Superior Ave,43493,,East Cleveland,,1,Sched for demolition
673-06-047,1715 Northfield Ave,43493,,East Cleveland,,1,Sched for demolition
130-01-101,3221 E 118th St,43489,,Cleveland,4,1,Sched for demolition
019-18-038,12005 Guardian Blvd,43488,,Cleveland,11,1,Pending transfer
650-12-030,1740 E 230th St,43488,,Euclid,,1,Pending transfer
672-24-108,1867 Roxford Rd,43488,,East Cleveland,,1,Unavailable - Demo under contract
681-04-065,966 Brunswick Rd,43488,,Cleveland Heights,,1,Pending transfer
108-14-018,568 E 110th St,43487,,Cleveland,10,1,Sched for demolition
131-27-011,3475 Independence Rd,43487,,Cleveland,12,1,Sched for demolition
110-12-007,953 Thornhill Dr,43483,,Cleveland,10,1,Sched for demolition
110-27-026,1164 E 125th St,43483,,Cleveland,9,1,Unavailable - Demo under contract
111-01-102,585 E 114th St,43483,,Cleveland,10,0,Vacant lot
112-22-041,15001 Upton Ave,43483,,Cleveland,8,1,Sched for demolition
117-09-047,1770 Cliffview Rd,43483,,Cleveland,10,1,Unavailable - Demo under contract
120-02-067,10801 Churchill Ave,43483,,Cleveland,9,1,Pending transfer
120-03-093,1325 E 111th St,43483,,Cleveland,9,1,Pending transfer
120-04-067,1355 E 115th St,43483,,Cleveland,9,0,Pending transfer
126-08-009,2501 E 89th St,43483,,Cleveland,6,1,Sched for demolition
129-30-088,13409 Lorenzo Ave,43483,,Cleveland,4,0,Vacant lot
131-35-142,3737 E 53rd St,43483,,Cleveland,12,1,Pending transfer
135-19-070,10701 Reno Ave,43483,,Cleveland,2,1,Unavailable - Demo under contract
142-04-010,4157 E 144th St,43481,,Cleveland,1,1,Unavailable - Demo under contract
104-09-027,1429 E 47th St,43480,,Cleveland,10,1,Sched for demolition
105-30-153,1006 E 76th St,43480,,Cleveland,10,1,Sched for demolition
117-10-013,1663 Catalpa Rd,43480,,Cleveland,10,1,Unavailable - Demo under contract
117-13-049,1863 Lampson Rd,43480,,Cleveland,10,0,Vacant lot
117-13-109,1826 Haldane Rd,43480,,Cleveland,10,0,Vacant lot
120-11-010,1447 E 120th St,43480,,Cleveland,9,1,Pending transfer
125-27-058,5844 Portage Ave,43480,,Cleveland,5,1,Sched for demolition
671-01-143,1244 E 137th St,43480,,East Cleveland,,1,Unavailable - Demo under contract
671-02-137,13702 Mann Ave,43480,,East Cleveland,,1,Unavailable - Demo under contract
671-11-052,14529 Ardenall Ave,43480,,East Cleveland,,1,Sched for demolition
671-11-123,14605 Strathmore Ave,43480,,East Cleveland,,1,Sched for demolition
671-16-169,14510 Dover Ave,43480,,East Cleveland,,0,Vacant lot
671-18-105,1275 E 141st St,43480,,East Cleveland,,0,Vacant lot
672-02-100,12600 Speedway Overlook Ave,43480,,East Cleveland,,1,Sched for demolition
672-06-067,1628 Elberon Ave,43480,,East Cleveland,,1,Sched for demolition
672-25-002,14620 Euclid Ave,43480,,East Cleveland,,1,Sched for demolition
673-03-092,1726 Rosedale Ave,43480,,East Cleveland,,1,Sched for demolition
673-04-033,1749 Taylor Rd,43480,,East Cleveland,,1,Sched for demolition
673-10-015,1854 Taylor Rd,43480,,East Cleveland,,1,Sched for demolition
673-10-016,1858 Taylor Rd,43480,,East Cleveland,,1,Sched for demolition
019-04-016,3723 Highland Rd,43479,,Cleveland,11,0,Pending transfer
016-22-109,3561 W 49th St,43476,,Cleveland,14,0,Pending transfer
110-26-077,11714 Chesterfield Ave,43476,,Cleveland,9,0,Unavailable - Demo under contract
115-11-021,939 E 149th St,43476,,Cleveland,10,1,Sched for demolition
115-13-030,1057 E 148th St,43476,,Cleveland,10,1,Sched for demolition
106-01-079,1376 & 78 E 66th St (side By Side),43475,,Cleveland,7,2,Unavailable - Demo under contract
134-19-097,8018 Maryland Ave,43475,,Cleveland,2,0,Vacant lot
139-02-178,3670 E 144th St,43475,,Cleveland,2,1,Sched for demolition
018-25-062,3635 W 122nd St,43473,,Cleveland,11,1,Pending transfer
019-08-001,10607 Bellaire Rd,43473,,Cleveland,11,1,Pending transfer
115-27-079,905 Rudyard Rd,43473,,Cleveland,8,1,"For sale (List Price: $15,000) (Renovation Work Required)"
137-07-101,3576 E 120th St,43473,,Cleveland,2,1,Sched for demolition
106-07-068,1413 E 81st St,43472,,Cleveland,7,0,Vacant lot
015-01-012,3273 W 44th St,43469,,Cleveland,14,1,"For sale (List Price: $8,000) (Renovation Work Required)"
130-01-106,3239 E 118th St,43469,,Cleveland,4,1,Sched for demolition
672-24-038,1869 Beersford,43469,,East Cleveland,,1,Unavailable - Demo under contract
007-07-149,3634 Bailey Avenue,43468,,Cleveland,,0,Pending transfer
125-36-030,7729 Union Ave,43468,,Cleveland,6,1,Sched for demolition
671-05-135,13401 6th Ave,43468,,East Cleveland,,1,Sched for demolition
687-07-058,13366 Cedar Rd,43468,,Cleveland Heights,,1,Pending transfer
109-14-093,10723 Massie Ave,43467,,Cleveland,9,1,Pending transfer
109-14-094,10706 Morison Ave,43467,,Cleveland,9,1,"For sale (List Price: $10,000) (Renovation Work Required)"
120-33-041,1885 Woodlawn Ave,43467,,Cleveland,6,0,Pending transfer
127-16-078,9527 Bessemer Ave,43467,,Cleveland,6,1,Pending transfer
134-05-060,4077 E 81st St,43467,,Cleveland,12,1,"For sale (List Price: $8,000) (Renovation Work Required)"
139-19-027,3729 E 151,43467,,Cleveland,1,1,Sched for demolition
671-10-218,14209 Ardenall Ave,43467,,East Cleveland,,1,Sched for demolition
672-07-078,1777 Elberon Ave (row House),43467,,East Cleveland,,1,Pending transfer
672-14-006,12640 Euclid Ave,43467,,East Cleveland,,0,Pending transfer
672-14-157,1866 Wadena St (row House),43467,,East Cleveland,,1,Pending transfer
683-23-006,3574 Antisdale Ave,43467,,Cleveland Heights,,1,"For sale (List Price: $50,000) (Renovation Work Required)"
104-13-015,1148 Norwood Rd,43465,,Cleveland,7,2,Pending transfer
127-23-112,3481 E 99th St,43465,,Cleveland,6,1,Unavailable - Demo under contract
128-24-041,11110 Lardet Ave,43465,,Cleveland,4,0,Vacant lot
671-18-025,13815 Baldwin Ave,43465,,East Cleveland,,1,Unavailable - Demo under contract
672-06-054,1637 Elberon Ave,43465,,East Cleveland,,1,Sched for demolition
672-10-034,13521 Emily St,43465,,East Cleveland,,0,Vacant lot
108-16-015,10605 Dupont Ave,43462,,Cleveland,10,1,Sched for demolition
110-09-050,695 E 128th St,43462,,Cleveland,10,1,Sched for demolition
672-26-103,1527 Coventry Rd,43462,,East Cleveland,,1,Pending transfer
107-09-194,1191 E 84th St,43458,,Cleveland,7,0,Vacant lot
132-12-113,6005 Lansing Ave,43458,,Cleveland,12,1,Unavailable - Demo under contract
134-11-089,4332 E 73rd St,43458,,Cleveland,12,0,Vacant lot
136-03-020,3849 E 102nd St,43458,,Cleveland,2,1,Sched for demolition
671-16-082,1253 E 143rd St,43458,,East Cleveland,,0,Vacant lot
006-05-098,7410 Elton Ave,43454,,Cleveland,15,1,Pending transfer
009-01-049,2329 Selzer Ave,43454,,Cleveland,12,1,Sched for demolition
009-16-050,1621 Crestline Ave,43454,,Cleveland,12,0,Pending transfer
013-04-018,3595 W 60th St,43454,,Cleveland,14,1,Pending transfer
015-04-150,3409 Meyer Ave,43454,,Cleveland,14,1,Sched for demolition
108-07-099,9322 Lowell Ave,43454,,Cleveland,10,1,Sched for demolition
108-08-096,572 E 102nd St,43454,,Cleveland,10,1,Sched for demolition
109-13-062,10805 Greenlawn Ave,43454,,Cleveland,9,0,Vacant lot
109-23-069,1191 E 112th St,43454,,Cleveland,9,0,Vacant lot
110-27-027,1166 E 125th St,43454,,Cleveland,9,1,Unavailable - Demo under contract
125-12-094,6521 Percy Ave,43454,,Cleveland,5,1,Sched for demolition
128-07-009,10700 Shale Ave,43454,,Cleveland,6,0,Vacant lot
132-15-158,6807 Fullerton Ave,43454,,Cleveland,12,1,Sched for demolition
135-08-082,3579 E 105th St,43454,,Cleveland,2,1,Sched for demolition
135-11-038,3529 E 114th St,43454,,Cleveland,2,0,Pending transfer
135-11-074,3530 E 113th St,43454,,Cleveland,2,1,Sched for demolition
136-17-009,10906 Harvard Ave,43454,,Cleveland,2,1,Sched for demolition
137-20-083,11716 Angelus Ave,43454,,Cleveland,2,0,Pending transfer
138-04-125,12808 Watterson Ave,43454,,Cleveland,2,1,Sched for demolition
138-20-093,4328 E 142nd St,43454,,Cleveland,1,0,Vacant lot
139-16-041,3963 E 153rd St,43454,,Cleveland,1,1,Sched for demolition
142-27-096,15215 Lincoln Ave,43454,,Cleveland,1,1,Pending transfer
541-22-027,9413 Plymouth Ave,43454,,Garfield Heights,,1,Pending transfer
671-19-064,13920 Elm Ave,43454,,East Cleveland,,1,Sched for demolition
671-21-066,1338 Hampton Rd,43454,,East Cleveland,,1,Sched for demolition
671-22-010,1321 Shawview Ave,43454,,East Cleveland,,1,Pending transfer
672-04-004,1187 E 125th St,43454,,East Cleveland,,0,Vacant lot
672-04-176,1218 Carlyon Rd,43454,,East Cleveland,,0,Pending transfer
672-15-120,1903 Farmington Rd,43454,,East Cleveland,,0,Pending transfer
105-30-112,958 E 77th St,43453,,Cleveland,9,1,Sched for demolition
106-11-068,7412 Melrose Ave,43453,,Cleveland,7,1,Unavailable - Demo under contract
107-08-099,1256 E 80th St,43453,,Cleveland,7,0,Vacant lot
108-14-102,10800 Navarre Ct,43453,,Cleveland,10,1,Sched for demolition
108-15-009,512 E 108th St,43453,,Cleveland,10,1,Sched for demolition
110-07-082,682 E 125th St,43453,,Cleveland,10,1,Sched for demolition
127-11-020,9021 Easton Ave,43453,,Cleveland,6,1,Sched for demolition
128-14-041,10513 Lamontier Ave,43453,,Cleveland,4,0,Vacant lot
128-16-029,9511 Dickens Ave,43453,,Cleveland,4,0,Vacant lot
128-17-005,9620 Parkview Ave,43453,,Cleveland,4,0,Vacant lot
128-22-002,3111 E 99th St,43453,,Cleveland,4,0,Vacant lot
130-04-012,3325 E 119th St,43453,,Cleveland,4,1,Sched for demolition
139-17-069,3872 E 154th St,43453,,Cleveland,1,1,Pending transfer
